GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Animals,com.TSImatthewAnimal,Bird,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,Seagull,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,Human,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,Koala,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,Fish,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,Main,15,0,0,0,5,0,2,0,2,0
Animals,com.TSImatthewAnimal,Animal,10,0,0,0,4,0,3,0,3,0
Animals,com.TSImatthewAnimal,Eagle,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,Koi,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,Mammal,3,0,0,0,1,0,1,0,1,0
Animals,com.TSImatthewAnimal,ClownFish,3,0,0,0,1,0,1,0,1,0
